,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,22018,1627783,0021801214,"APR 09, 2019",TOR @ MIN,W,18,4,6,0.667,1,2,0.5,1,2,0.5,0,4,4,2,1,0,2,4,10,-2,1
1,22018,1627783,0021801195,"APR 07, 2019",TOR vs. MIA,W,37,8,10,0.8,3,5,0.6,4,4,1.0,1,9,10,1,0,0,3,2,23,19,1
2,22018,1627783,0021801180,"APR 05, 2019",TOR @ CHA,L,29,5,9,0.556,2,3,0.667,2,2,1.0,0,5,5,3,0,0,2,4,14,6,1
3,22018,1627783,0021801169,"APR 03, 2019",TOR @ BKN,W,36,11,21,0.524,3,7,0.429,3,4,0.75,5,5,10,5,0,0,1,2,28,21,1
4,22018,1627783,0021801156,"APR 01, 2019",TOR vs. ORL,W,28,2,9,0.222,1,3,0.333,1,2,0.5,1,2,3,4,0,0,2,2,6,3,1
5,22018,1627783,0021801125,"MAR 28, 2019",TOR @ NYK,W,31,11,19,0.579,2,6,0.333,7,8,0.875,2,3,5,5,1,1,0,4,31,31,1
6,22018,1627783,0021801110,"MAR 26, 2019",TOR vs. CHI,W,21,6,10,0.6,0,0,0.0,1,1,1.0,1,4,5,2,0,0,2,1,13,2,1
7,22018,1627783,0021801098,"MAR 24, 2019",TOR vs. CHA,L,36,9,14,0.643,1,1,1.0,4,4,1.0,0,7,7,5,1,1,5,3,23,8,1
8,22018,1627783,0021801083,"MAR 22, 2019",TOR vs. OKC,L,36,9,14,0.643,2,3,0.667,5,5,1.0,2,3,5,2,2,1,7,5,25,-4,1
9,22018,1627783,0021801072,"MAR 20, 2019",TOR @ OKC,W,43,14,21,0.667,1,4,0.25,4,4,1.0,2,11,13,6,2,1,5,5,33,9,1
10,22018,1627783,0021801053,"MAR 18, 2019",TOR vs. NYK,W,30,9,14,0.643,1,3,0.333,0,2,0.0,2,6,8,5,0,1,1,3,19,37,1
11,22018,1627783,0021801044,"MAR 17, 2019",TOR @ DET,L,32,6,13,0.462,0,2,0.0,0,0,0.0,0,3,3,3,1,0,1,6,12,-7,2
12,22018,1627783,0021801023,"MAR 14, 2019",TOR vs. LAL,W,39,3,16,0.188,0,4,0.0,10,12,0.833,3,2,5,6,2,2,3,0,16,14,1
13,22018,1627783,0021801001,"MAR 11, 2019",TOR @ CLE,L,29,6,13,0.462,0,4,0.0,3,3,1.0,1,3,4,3,1,0,2,5,15,-15,1
14,22018,1627783,0021800993,"MAR 10, 2019",TOR @ MIA,W,29,8,12,0.667,1,2,0.5,3,5,0.6,1,4,5,5,1,1,1,2,20,12,1
15,22018,1627783,0021800983,"MAR 08, 2019",TOR @ NOP,W,29,7,15,0.467,1,4,0.25,4,4,1.0,1,4,5,4,1,2,2,1,19,10,1
16,22018,1627783,0021800961,"MAR 05, 2019",TOR vs. HOU,L,38,7,12,0.583,2,4,0.5,1,4,0.25,4,6,10,3,0,0,2,1,17,11,1
17,22018,1627783,0021800949,"MAR 03, 2019",TOR @ DET,L,44,10,20,0.5,1,4,0.25,0,2,0.0,1,8,9,5,0,0,3,5,21,2,1
18,22018,1627783,0021800930,"MAR 01, 2019",TOR vs. POR,W,35,4,8,0.5,2,4,0.5,6,8,0.75,0,4,4,4,0,0,3,4,16,19,1
19,22018,1627783,0021800909,"FEB 26, 2019",TOR vs. BOS,W,30,10,16,0.625,4,5,0.8,1,1,1.0,1,7,8,2,2,1,0,1,25,22,1
20,22018,1627783,0021800894,"FEB 24, 2019",TOR vs. ORL,L,37,3,10,0.3,2,4,0.5,2,2,1.0,0,11,11,3,0,2,0,1,10,-5,1
21,22018,1627783,0021800876,"FEB 22, 2019",TOR vs. SAS,W,33,7,10,0.7,2,2,1.0,6,9,0.667,1,2,3,6,2,0,2,4,22,-8,1
22,22018,1627783,0021800857,"FEB 13, 2019",TOR vs. WAS,W,33,15,25,0.6,4,5,0.8,10,12,0.833,3,7,10,2,0,3,4,5,44,24,1
23,22018,1627783,0021800842,"FEB 11, 2019",TOR vs. BKN,W,35,6,13,0.462,0,1,0.0,5,6,0.833,0,4,4,4,2,0,3,2,17,-1,1
24,22018,1627783,0021800828,"FEB 09, 2019",TOR @ NYK,W,33,3,13,0.231,0,3,0.0,4,5,0.8,2,6,8,2,1,0,0,2,10,13,1
25,22018,1627783,0021800813,"FEB 07, 2019",TOR @ ATL,W,40,12,20,0.6,2,5,0.4,7,9,0.778,4,10,14,4,2,1,2,3,33,23,1
26,22018,1627783,0021800800,"FEB 05, 2019",TOR @ PHI,W,30,7,15,0.467,2,6,0.333,0,3,0.0,2,4,6,2,1,0,2,2,16,8,1
27,22018,1627783,0021800789,"FEB 03, 2019",TOR vs. LAC,W,22,4,10,0.4,1,4,0.25,6,7,0.857,1,3,4,0,0,1,1,2,15,13,1
28,22018,1627783,0021800766,"JAN 31, 2019",TOR vs. MIL,L,38,12,19,0.632,2,3,0.667,2,3,0.667,1,2,3,3,1,0,3,4,28,-15,1
29,22018,1627783,0021800739,"JAN 27, 2019",TOR @ DAL,W,37,4,11,0.364,1,3,0.333,5,5,1.0,1,4,5,2,1,0,1,4,14,9,1
30,22018,1627783,0021800724,"JAN 25, 2019",TOR @ HOU,L,34,9,15,0.6,2,2,1.0,2,2,1.0,4,8,12,3,0,0,2,3,22,6,1
31,22018,1627783,0021800706,"JAN 23, 2019",TOR @ IND,L,37,5,16,0.313,1,4,0.25,5,5,1.0,3,6,9,4,0,0,0,4,16,-12,1
32,22018,1627783,0021800702,"JAN 22, 2019",TOR vs. SAC,W,31,8,14,0.571,1,4,0.25,1,1,1.0,1,3,4,1,1,1,2,3,18,11,1
33,22018,1627783,0021800684,"JAN 19, 2019",TOR vs. MEM,W,29,7,12,0.583,0,1,0.0,3,4,0.75,2,6,8,2,1,0,0,2,17,40,1
34,22018,1627783,0021800668,"JAN 17, 2019",TOR vs. PHX,W,33,4,8,0.5,0,3,0.0,2,2,1.0,2,10,12,5,1,2,1,1,10,-3,1
35,22018,1627783,0021800658,"JAN 16, 2019",TOR @ BOS,L,36,3,6,0.5,0,0,0.0,0,0,0.0,1,3,4,7,1,0,3,4,6,1,1
36,22018,1627783,0021800639,"JAN 13, 2019",TOR @ WAS,W,44,9,16,0.563,0,2,0.0,6,6,1.0,5,14,19,2,3,2,5,6,24,-5,1
37,22018,1627783,0021800624,"JAN 11, 2019",TOR vs. BKN,W,26,6,13,0.462,0,2,0.0,4,7,0.571,2,4,6,2,1,0,1,3,16,20,1
38,22018,1627783,0021800602,"JAN 08, 2019",TOR vs. ATL,W,35,6,13,0.462,0,3,0.0,1,4,0.25,1,9,10,3,1,1,4,5,13,5,1
39,22018,1627783,0021800589,"JAN 06, 2019",TOR vs. IND,W,26,4,8,0.5,0,1,0.0,4,4,1.0,2,8,10,4,0,0,3,1,12,5,1
40,22018,1627783,0021800580,"JAN 05, 2019",TOR @ MIL,W,39,11,15,0.733,3,5,0.6,5,7,0.714,2,2,4,3,0,2,0,4,30,16,1
41,22018,1627783,0021800563,"JAN 03, 2019",TOR @ SAS,L,27,4,8,0.5,0,2,0.0,2,2,1.0,0,6,6,7,1,1,4,4,10,-18,1
42,22018,1627783,0021800549,"JAN 01, 2019",TOR vs. UTA,W,32,9,15,0.6,3,4,0.75,7,7,1.0,1,9,10,1,0,0,1,3,28,12,1
43,22018,1627783,0021800538,"DEC 30, 2018",TOR vs. CHI,W,34,7,12,0.583,1,1,1.0,5,6,0.833,6,6,12,4,0,0,3,3,20,2,1
44,22018,1627783,0021800519,"DEC 28, 2018",TOR @ ORL,L,29,1,8,0.125,0,2,0.0,2,3,0.667,1,3,4,2,0,0,2,4,4,-20,1
